date,fc,sfrp,mfrp,aet,cwd,et0,pet_thorn,ppt,pwd,rad,soil,tmax,tmin,vp,vpd,wind
1/1/2012,376,1535.7,4.084308511,61.8103,0.0821,61.8958,29.8117,126.9639,65.0682,103.4504,151.2721,16.7374,3.5322,0.7708,0.5902,3.0417
2/1/2012,877,5836.31,6.654857469,60.2015,0,60.2015,31.6741,117.9891,57.7877,119.357,151.8707,16.9244,5.5068,0.8473,0.5818,2.7258
3/1/2012,2144,15092.62,7.039468284,104.2768,0.4127,104.6896,67.096,137.9805,33.2908,173.2053,151.1662,24.6316,11.7057,1.3869,0.8646,3.0491
4/1/2012,1402,5027.85,3.586198288,99.0263,30.7378,129.7639,74.5294,49.4286,-80.3353,240.5359,99.0955,25.6032,11.8666,1.2743,1.0773,2.5085
5/1/2012,1186,4178.93,3.523549747,125.7255,19.9845,145.7096,118.3327,113.8814,-31.8283,256.0611,81.555,29.7206,16.7108,1.9685,1.0888,1.9371
6/1/2012,949,3096.5,3.262908325,120.4131,40.0414,160.4547,141.9148,123.5,-36.9547,269.3346,72.2283,31.6076,18.878,2.0424,1.3934,2.2082
7/1/2012,800,3292.96,4.1162,152.4746,5.2972,157.7716,186.1444,166.0138,8.2422,249.9519,72.0565,33.6151,21.9249,2.5576,1.384,1.8297
8/1/2012,890,3093.17,3.47547191,130.428,14.5268,144.955,144.8628,159.6362,14.6812,229.6934,74.2154,31.4886,20.2674,2.2085,1.3101,2.1899
9/1/2012,1434,11869.09,8.276910739,105.5705,6.4442,112.0154,100.3652,122.2599,10.2446,198.6092,84.7928,29.3088,16.8963,1.9772,1.0446,2.0121
10/1/2012,2400,29332.24,12.22176667,66.5341,23.0261,89.5605,59.7819,52.9302,-36.6304,169.3999,68.4585,24.2299,10.4259,1.3544,0.8074,2.4914
11/1/2012,2031,21508.46,10.5900837,45.2313,12.1528,57.3836,34.4214,41.1791,-16.2046,132.9768,62.3175,19.1995,3.5454,0.8742,0.6419,1.9887
12/1/2012,758,3802.49,5.016477573,48.8327,0,48.8327,30.3533,164.7648,115.9321,89.046,142.8616,16.902,4.924,0.9401,0.4685,2.7759
1/1/2013,731,3921.24,5.364213406,51.5248,0,51.5338,30.4629,172.6444,121.1105,86.2979,151.1941,15.5177,4.4939,0.8364,0.4824,2.7783
2/1/2013,903,4910.11,5.437552602,56.6665,0,56.7367,27.2134,231.2388,174.5021,126.0567,151.9234,14.9437,2.9235,0.7386,0.502,2.793
3/1/2013,3326,22618.31,6.800453999,81.5536,4.2067,85.7615,38.087,98.7082,12.9468,190.6195,144.6961,16.9694,3.2323,0.8252,0.54,3.1325
4/1/2013,1131,4814.33,4.256702034,109.1043,0,109.1043,67.2175,169.8234,60.7191,207.7169,151.229,23.4789,10.3069,1.3004,0.7858,2.738
5/1/2013,974,2739.68,2.812813142,127.6788,1.0207,128.6996,93.0986,153.1485,24.4489,248.2783,149.7839,26.2866,13.8109,1.8369,0.6767,2.6688
6/1/2013,815,2514.3,3.085030675,140.25,0.1168,140.367,148.0603,181.9774,41.6104,236.1739,151.6923,31.1862,20.1007,2.3424,1.1251,2.041
7/1/2013,687,1925.54,2.802823872,133.3458,0,133.3459,148.0836,214.617,81.2712,226.4998,151.9179,30.5108,20.476,2.5756,0.8319,2.0615
8/1/2013,885,4029.22,4.55279096,123.6186,3.3198,126.9382,142.0621,143.9513,17.0131,210.7083,146.2155,30.974,20.2476,2.4621,0.9886,1.8701
9/1/2013,1490,9521.78,6.390456376,103.2673,13.8457,117.1137,113.5543,86.5743,-30.5394,209.9639,124.1218,30.4377,18.1256,2.1156,1.1221,1.8169
10/1/2013,2052,22787.54,11.10503899,64.865,14.5753,79.4411,67.8554,48.1896,-31.2515,149.8946,105.0445,24.9055,12.1286,1.5286,0.7705,1.9159
11/1/2013,1456,13021.45,8.943303571,55.8117,0.0157,55.8274,33.9834,95.461,39.6337,120.6133,138.116,17.4652,4.3511,0.9177,0.51,2.7077
12/1/2013,675,4330.47,6.415511111,47.1303,0,47.17,27.8295,204.0841,156.9141,83.7638,151.9234,14.9798,3.3358,0.7988,0.4545,2.6643
1/1/2014,1008,6985.7,6.930257937,29.6984,0,33.1969,12.4449,70.1633,36.9663,117.8518,151.9234,10.3561,-3.7272,0.6046,0.2661,3.0445
2/1/2014,807,3782.3,4.686864932,60.6544,0,60.8077,26.0989,163.2064,102.3987,127.4635,151.9234,14.8786,2.0663,0.6598,0.5555,2.9424
3/1/2014,2547,15553.41,6.10656066,90.7381,0,90.7381,42.9073,146.2432,55.5051,184.0573,151.9234,18.6073,4.5467,0.8381,0.6681,2.7672
4/1/2014,1489,7452.26,5.004875756,117.1266,0,117.1266,68.5684,255.925,138.7985,215.6622,151.9234,23.8696,10.6439,1.2658,0.8681,2.9642
5/1/2014,1187,4459.23,3.756722831,123.2946,20.8152,144.1102,103.766,93.5734,-50.5368,263.792,116.1571,27.8868,15.0279,1.795,0.9519,2.299
6/1/2014,750,2469.94,3.293253333,127.1412,13.0345,140.1746,145.8042,117.5603,-22.6143,245.2926,100.6982,31.015,20.0079,2.4243,1.0132,1.884
7/1/2014,1153,4445.07,3.855221162,119.74,45.4504,165.191,149.0232,89.353,-75.8379,287.0317,65.8408,31.3836,19.6837,2.2945,1.168,1.961
8/1/2014,1249,7272.51,5.822666133,104.2006,47.2293,151.4293,155.7025,87.4465,-63.9828,254.5936,44.7196,32.9299,20.2481,2.5336,1.1806,1.891
9/1/2014,1339,9398.08,7.018730396,74.4113,41.0007,115.4121,116.1064,69.1379,-46.2742,198.0301,35.9862,30.4544,18.7984,2.0748,1.2071,1.8445
10/1/2014,2748,35656.88,12.97557496,77.5221,15.7141,93.2359,68.944,91.8636,-1.3723,171.5797,45.7238,25.8377,11.3345,1.4219,0.9292,2.2569
11/1/2014,1940,21475,11.06958763,53.6753,1.2705,54.9458,30.4383,78.8893,23.9435,128.1229,65.0355,16.6813,2.3047,0.8314,0.4892,2.6577
12/1/2014,1420,15751.69,11.09273944,45.6503,0,45.6511,29.4187,173.1292,127.478,94.2631,149.4318,15.628,4.2599,0.8282,0.4875,2.1819
1/1/2015,1328,9318.83,7.017191265,46.8232,0,47.1905,20.2601,118.4577,71.2671,111.4813,151.9234,12.8377,0.3717,0.6737,0.3927,2.7242
2/1/2015,1548,10925.24,7.057648579,46.3645,0,48.3295,15.7804,115.1123,66.7828,136.3766,151.9234,11.5389,-1.223,0.5908,0.3825,3.0582
3/1/2015,1354,7379.2,5.449926145,91.9129,1.7297,93.6428,50.9061,108.0935,14.4507,159.5515,148.951,20.7658,8.2919,0.9741,0.8167,2.6586
4/1/2015,717,3046.27,4.248633194,114.1741,0,114.1741,75.4824,218.4114,104.2373,195.7939,151.9234,24.9371,13.1029,1.3509,0.9977,2.5046
5/1/2015,1130,4072.52,3.604,124.6551,20.7634,145.4195,111.1533,94.1477,-51.2719,260.7029,116.2461,28.868,16.039,1.9265,0.9898,2.1964
6/1/2015,1008,3237.18,3.211488095,127.5451,28.035,155.5803,155.2029,101.9392,-53.641,273.3386,85.5434,31.9465,20.399,2.4565,1.1325,1.9107
7/1/2015,1057,5494.93,5.198609272,156.0547,17.0619,173.1163,186.7969,151.1736,-21.9426,285.3213,73.1003,33.5474,22.0145,2.6754,1.2649,2.0458
8/1/2015,1302,9867.98,7.579093702,141.9041,13.1149,155.0187,153.803,140.9283,-14.0904,255.5935,65.0774,32.4685,20.3744,2.3404,1.3201,2.0201
9/1/2015,1239,9157.99,7.391436642,88.782,26.3086,115.0908,109.7102,82.9851,-32.1057,204.1362,54.978,30.0906,17.9995,2.1198,1.0649,1.958
10/1/2015,2078,26924.6,12.95697786,88.642,1.5096,90.152,66.2182,111.9133,21.7613,144.904,69.8734,24.9814,12.2412,1.4048,0.9065,2.5906
11/1/2015,986,7625.24,7.733509128,62.2075,0,62.2075,44.9811,154.947,92.7394,108.732,137.4291,21.0633,9.7462,1.157,0.7089,2.4165
12/1/2015,1262,12958.76,10.26843106,55.271,0,55.271,39.3863,288.2874,233.0164,87.8784,151.9234,19.3785,8.5269,1.1102,0.5846,2.7621
1/1/2016,776,3389.55,4.367976804,47.1308,0,47.1308,17.8995,102.1252,54.9945,107.7069,151.9234,12.214,0.4393,0.6847,0.42,2.8145
2/1/2016,2516,16180.66,6.431104928,62.9848,0,62.9848,28.2491,162.4615,99.4767,141.2986,151.9234,16.2997,3.5196,0.7639,0.5637,3.187
3/1/2016,2032,12377.96,6.091515748,100.9277,0.0002,100.9278,53.7637,182.2099,81.2821,178.6984,151.9232,21.9749,9.1598,1.0369,0.801,3.1222
4/1/2016,1370,6469.07,4.721948905,117.5796,2.739,120.3186,68.6543,129.2331,8.9145,225.0688,147.217,24.5233,11.3605,1.2443,0.9813,2.6593
5/1/2016,1008,4225.87,4.192331349,108.5969,35.8685,144.4655,101.5929,53.1756,-91.2899,269.6908,89.0854,27.9688,15.0863,1.748,1.1218,2.3125
6/1/2016,990,3308.8,3.342222222,125.3392,29.8671,155.2063,164.6595,113.7593,-41.4471,272.3611,71.7732,33.0198,20.4474,2.2563,1.4309,1.7571
7/1/2016,899,2943.8,3.274527253,141.3953,31.4962,172.8915,195.4549,132.022,-40.8695,281.7347,55.7518,34.102,22.2354,2.6235,1.4026,1.9678
8/1/2016,1131,8411.38,7.437117595,115.112,33.5613,148.6733,179.2249,115.1903,-33.483,229.3397,48.151,33.4136,22.3437,2.6043,1.2895,2.0901
9/1/2016,1610,16557.47,10.28414286,66.6386,66.6822,133.3208,134.2092,57.1082,-76.2126,217.0621,35.7194,32.8249,19.5718,2.1147,1.5389,1.898
10/1/2016,1632,15258.63,9.349650735,14.7875,98.5215,113.309,79.7631,6.2339,-107.0751,180.5116,26.7998,28.9051,12.7867,1.4442,1.354,2.2051
